STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
757,4/1/2021,1000-Hour,None,27,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,4/15/2021,1000-Hour,None,15,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,5/4/2021,1000-Hour,None,13,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,6/1/2021,1000-Hour,None,9,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,6/15/2021,1000-Hour,None,8,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,7/1/2021,1000-Hour,None,8,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,7/15/2021,1000-Hour,None,6,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,8/2/2021,1000-Hour,None,9,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,8/17/2021,1000-Hour,None,7,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/1/2021,1000-Hour,None,8,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/15/2021,1000-Hour,None,8,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/30/2021,1000-Hour,None,9,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,10/14/2021,1000-Hour,None,8,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,4/1/2021,Manzanita,Greenleaf,102,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,4/15/2021,Manzanita,Greenleaf,105,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,5/4/2021,Manzanita,Greenleaf,97,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,6/1/2021,Manzanita,Greenleaf,91,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,6/15/2021,Manzanita,Greenleaf,100,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,7/1/2021,Manzanita,Greenleaf,112,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,7/15/2021,Manzanita,Greenleaf,126,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,8/2/2021,Manzanita,Greenleaf,124,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,8/17/2021,Manzanita,Greenleaf,102,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/1/2021,Manzanita,Greenleaf,102,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/15/2021,Manzanita,Greenleaf,99,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/30/2021,Manzanita,Greenleaf,99,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,10/14/2021,Manzanita,Greenleaf,92,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,4/1/2021,Pine,Ponderosa,118,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,4/15/2021,Pine,Ponderosa,115,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,5/4/2021,Pine,Ponderosa,106,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,6/1/2021,Pine,Ponderosa,108,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,6/15/2021,Pine,Ponderosa,124,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,7/1/2021,Pine,Ponderosa,123,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,7/15/2021,Pine,Ponderosa,141,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,8/2/2021,Pine,Ponderosa,150,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,8/17/2021,Pine,Ponderosa,134,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/1/2021,Pine,Ponderosa,146,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/15/2021,Pine,Ponderosa,138,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,9/30/2021,Pine,Ponderosa,121,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
757,10/14/2021,Pine,Ponderosa,115,McCloud (SHF),NOCC,Shasta-Trinity NF,41.29361111111111,-122.0544444,3590
