STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
497,1/15/2020,Ceanothus,Hoaryleaf,84,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,1/30/2020,Ceanothus,Hoaryleaf,91,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,2/14/2020,Ceanothus,Hoaryleaf,91,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,2/27/2020,Ceanothus,Hoaryleaf,101,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,3/30/2020,Ceanothus,Hoaryleaf,113,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,4/15/2020,Ceanothus,Hoaryleaf,118,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,4/30/2020,Ceanothus,Hoaryleaf,174,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,5/15/2020,Ceanothus,Hoaryleaf,167,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,5/31/2020,Ceanothus,Hoaryleaf,140,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,6/15/2020,Ceanothus,Hoaryleaf,119,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,6/30/2020,Ceanothus,Hoaryleaf,87,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,7/15/2020,Ceanothus,Hoaryleaf,76,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,7/31/2020,Ceanothus,Hoaryleaf,67,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,8/14/2020,Ceanothus,Hoaryleaf,59,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,8/30/2020,Ceanothus,Hoaryleaf,53,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,9/15/2020,Ceanothus,Hoaryleaf,52,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,9/30/2020,Ceanothus,Hoaryleaf,47,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,10/15/2020,Ceanothus,Hoaryleaf,48,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,10/30/2020,Ceanothus,Hoaryleaf,48,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,1/15/2020,Chamise,None,76,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,1/30/2020,Chamise,None,84,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,2/14/2020,Chamise,None,93,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,2/27/2020,Chamise,None,178,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,3/30/2020,Chamise,None,174,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,4/15/2020,Chamise,None,168,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,4/30/2020,Chamise,None,204,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,5/15/2020,Chamise,None,196,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,5/31/2020,Chamise,None,151,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,6/15/2020,Chamise,None,122,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,6/30/2020,Chamise,None,110,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,7/15/2020,Chamise,None,101,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,7/31/2020,Chamise,None,87,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,8/14/2020,Chamise,None,71,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,8/30/2020,Chamise,None,69,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,9/15/2020,Chamise,None,64,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,9/30/2020,Chamise,None,62,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,10/15/2020,Chamise,None,60,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
497,10/30/2020,Chamise,None,63,"Glendora Ridge, Glendora",SOCC,LA County,34.1661,-117.861,2465
