STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
266,4/29/2020,Bitterbrush,Antelope,103,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,5/4/2020,Bitterbrush,Antelope,98,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,5/11/2020,Bitterbrush,Antelope,98,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,5/20/2020,Bitterbrush,Antelope,108,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,5/27/2020,Bitterbrush,Antelope,113,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/3/2020,Bitterbrush,Antelope,113,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/8/2020,Bitterbrush,Antelope,112,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/17/2020,Bitterbrush,Antelope,104,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/19/2020,Bitterbrush,Antelope,119,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/22/2020,Bitterbrush,Antelope,108,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,7/6/2020,Bitterbrush,Antelope,92,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,7/20/2020,Bitterbrush,Antelope,71,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,7/31/2020,Bitterbrush,Antelope,86,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,8/3/2020,Bitterbrush,Antelope,89,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,8/15/2020,Bitterbrush,Antelope,85,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,8/24/2020,Bitterbrush,Antelope,74,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,9/11/2020,Bitterbrush,Antelope,72,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,9/21/2020,Bitterbrush,Antelope,70,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,9/28/2020,Bitterbrush,Antelope,67,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,4/29/2020,Manzanita,Greenleaf,99,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,5/4/2020,Manzanita,Greenleaf,95,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,5/11/2020,Manzanita,Greenleaf,95,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,5/20/2020,Manzanita,Greenleaf,95,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,5/27/2020,Manzanita,Greenleaf,89,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/3/2020,Manzanita,Greenleaf,89,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/8/2020,Manzanita,Greenleaf,93,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/17/2020,Manzanita,Greenleaf,94,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/19/2020,Manzanita,Greenleaf,97,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,6/22/2020,Manzanita,Greenleaf,101,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,7/6/2020,Manzanita,Greenleaf,112,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,7/20/2020,Manzanita,Greenleaf,91,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,7/31/2020,Manzanita,Greenleaf,86,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,8/3/2020,Manzanita,Greenleaf,96,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,8/15/2020,Manzanita,Greenleaf,93,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,8/24/2020,Manzanita,Greenleaf,97,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,9/11/2020,Manzanita,Greenleaf,84,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,9/21/2020,Manzanita,Greenleaf,84,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
266,9/28/2020,Manzanita,Greenleaf,74,Colgate,NWCC,NW06-COC,44.316944444444445,-121.6063889,3280
