STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
384,4/13/2022,10-Hour,None,20,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,5/17/2022,10-Hour,None,16,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/1/2022,10-Hour,None,19,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/15/2022,10-Hour,None,13,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/29/2022,10-Hour,None,10,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,7/13/2022,10-Hour,None,8,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,8/1/2022,10-Hour,None,8,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,8/15/2022,10-Hour,None,7,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,10/4/2022,10-Hour,None,16,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,4/13/2022,1000-Hour,None,13,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,5/2/2022,1000-Hour,None,13,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,5/17/2022,1000-Hour,None,13,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/1/2022,1000-Hour,None,19,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/15/2022,1000-Hour,None,14,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/29/2022,1000-Hour,None,9,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,7/13/2022,1000-Hour,None,6,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,8/1/2022,1000-Hour,None,7,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,8/15/2022,1000-Hour,None,7,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,9/1/2022,1000-Hour,None,6,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,10/4/2022,1000-Hour,None,13,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,4/13/2022,Needlegrass,Green,153,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,5/2/2022,Needlegrass,Green,228,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,5/17/2022,Needlegrass,Green,192,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/1/2022,Needlegrass,Green,170,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/15/2022,Needlegrass,Green,179,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/29/2022,Needlegrass,Green,106,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,7/13/2022,Needlegrass,Green,50,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,8/1/2022,Needlegrass,Green,36,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,8/15/2022,Needlegrass,Green,35,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,9/1/2022,Needlegrass,Green,13,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,10/4/2022,Needlegrass,Green,39,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,4/13/2022,Sagebrush,Mountain Big,148,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,5/2/2022,Sagebrush,Mountain Big,187,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,5/17/2022,Sagebrush,Mountain Big,272,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/1/2022,Sagebrush,Mountain Big,266,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/15/2022,Sagebrush,Mountain Big,261,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,6/29/2022,Sagebrush,Mountain Big,226,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,7/13/2022,Sagebrush,Mountain Big,223,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,8/1/2022,Sagebrush,Mountain Big,130,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,8/15/2022,Sagebrush,Mountain Big,170,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,9/1/2022,Sagebrush,Mountain Big,120,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
384,10/4/2022,Sagebrush,Mountain Big,155,Donnelly Gulch,GBCC,Salmon-Challis NF,45.42055555555555,-114.0180556,4210
