STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
613,6/3/2020,1000-Hour,None,9,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/16/2020,1000-Hour,None,11,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/1/2020,1000-Hour,None,9,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/15/2020,1000-Hour,None,7,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/3/2020,1000-Hour,None,10,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/17/2020,1000-Hour,None,7,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/1/2020,1000-Hour,None,10,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/15/2020,1000-Hour,None,8,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/3/2020,Fir,Subalpine,85,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/16/2020,Fir,Subalpine,76,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/1/2020,Fir,Subalpine,80,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/15/2020,Fir,Subalpine,87,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/3/2020,Fir,Subalpine,91,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/17/2020,Fir,Subalpine,95,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/1/2020,Fir,Subalpine,102,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/15/2020,Fir,Subalpine,102,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/3/2020,Pine,Lodgepole,95,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/16/2020,Pine,Lodgepole,91,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/1/2020,Pine,Lodgepole,97,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/15/2020,Pine,Lodgepole,107,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/3/2020,Pine,Lodgepole,100,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/17/2020,Pine,Lodgepole,112,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/1/2020,Pine,Lodgepole,116,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/15/2020,Pine,Lodgepole,115,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/3/2020,Sagebrush,Silver,184,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/16/2020,Sagebrush,Silver,225,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/1/2020,Sagebrush,Silver,184,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/15/2020,Sagebrush,Silver,163,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/3/2020,Sagebrush,Silver,137,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/17/2020,Sagebrush,Silver,110,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/1/2020,Sagebrush,Silver,108,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/15/2020,Sagebrush,Silver,95,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/3/2020,Spruce,Engelmann,71,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,6/16/2020,Spruce,Engelmann,71,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/1/2020,Spruce,Engelmann,76,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,7/15/2020,Spruce,Engelmann,83,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/3/2020,Spruce,Engelmann,88,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,8/17/2020,Spruce,Engelmann,107,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/1/2020,Spruce,Engelmann,107,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
613,9/15/2020,Spruce,Engelmann,121,Independence MTN,RMCC,Medicine Bow-Routt NF,40.91722222222222,-106.4469444,8655
