STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
1195,6/24/2020,1000-Hour,None,25,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,7/8/2020,1000-Hour,None,13,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,7/22/2020,1000-Hour,None,11,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,8/5/2020,1000-Hour,None,8,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,8/19/2020,1000-Hour,None,8,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,9/2/2020,1000-Hour,None,9,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,9/30/2020,1000-Hour,None,11,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,10/16/2020,1000-Hour,None,42,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,4/8/2021,1000-Hour,None,20,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,4/20/2021,1000-Hour,None,50,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,5/5/2021,1000-Hour,None,26,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,5/18/2021,1000-Hour,None,22,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,6/2/2021,1000-Hour,None,19,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,6/16/2021,1000-Hour,None,19,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,6/29/2021,1000-Hour,None,18,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,7/13/2021,1000-Hour,None,15,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,7/28/2021,1000-Hour,None,15,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,8/11/2021,1000-Hour,None,15,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,8/24/2021,1000-Hour,None,17,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,9/14/2021,1000-Hour,None,17,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
1195,9/29/2021,1000-Hour,None,16,Sullivan Pond,NWCC,NW08-OWF,48.52055555555555,-120.1430556,2800
