STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
812,4/15/2015,1000-Hour,None,32,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,4/29/2015,1000-Hour,None,32,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,5/12/2015,1000-Hour,None,32,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,5/26/2015,1000-Hour,None,33,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,6/9/2015,1000-Hour,None,21,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,6/23/2015,1000-Hour,None,22,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,7/7/2015,1000-Hour,None,12,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,7/21/2015,1000-Hour,None,6,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,8/5/2015,1000-Hour,None,4,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,8/18/2015,1000-Hour,None,7,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,9/1/2015,1000-Hour,None,6,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,9/16/2015,1000-Hour,None,9,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,9/29/2015,1000-Hour,None,7,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,10/13/2015,1000-Hour,None,10,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
812,10/27/2015,1000-Hour,None,12,Mt Elizabeth RAWS,SOCC,Stanislaus NF,38.06305555555555,-120.2475,4942
