STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
962,5/3/2019,1000-Hour,None,34,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,6/6/2019,1000-Hour,None,59,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,7/10/2019,1000-Hour,None,14,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,8/2/2019,1000-Hour,None,11,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,9/5/2019,1000-Hour,None,9,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,11/5/2019,1000-Hour,None,17,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,5/3/2019,Douglas-Fir,None,91,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,6/6/2019,Douglas-Fir,None,97,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,7/10/2019,Douglas-Fir,None,106,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,8/2/2019,Douglas-Fir,None,132,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,9/5/2019,Douglas-Fir,None,118,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,11/5/2019,Douglas-Fir,None,104,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,5/3/2019,Manzanita,Whiteleaf,105,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,6/6/2019,Manzanita,Whiteleaf,123,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,7/10/2019,Manzanita,Whiteleaf,159,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,8/2/2019,Manzanita,Whiteleaf,116,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,9/5/2019,Manzanita,Whiteleaf,99,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
962,11/5/2019,Manzanita,Whiteleaf,95,Quincy RD,NOCC,Plumas NF,39.973333333333336,-120.9419444,3652
