STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
981,4/27/2016,1000-Hour,None,32,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,5/12/2016,1000-Hour,None,19,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,6/3/2016,1000-Hour,None,16,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,6/15/2016,1000-Hour,None,17,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,6/28/2016,1000-Hour,None,10,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,7/15/2016,1000-Hour,None,8,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,7/30/2016,1000-Hour,None,8,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,8/16/2016,1000-Hour,None,8,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,8/27/2016,1000-Hour,None,9,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,10/2/2016,1000-Hour,None,10,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
981,10/21/2016,1000-Hour,None,9,Red Feather,RMCC,Arapaho and Roosevelt NF,40.7625,-105.6188889,8216
