STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
628,4/29/2009,1000-Hour,None,29,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,5/14/2009,1000-Hour,None,38,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/2/2009,1000-Hour,None,43,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,7/28/2009,1000-Hour,None,2,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/13/2009,1000-Hour,None,2,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,9/9/2009,1000-Hour,None,2,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,10/6/2009,1000-Hour,None,2,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,4/19/2010,1000-Hour,None,90,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,5/5/2010,1000-Hour,None,55,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,5/28/2010,1000-Hour,None,45,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/11/2010,1000-Hour,None,35,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/24/2010,1000-Hour,None,8,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/29/2010,1000-Hour,None,9,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/3/2010,1000-Hour,None,4,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/11/2010,1000-Hour,None,5,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/26/2010,1000-Hour,None,5,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,9/13/2010,1000-Hour,None,7,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,5/2/2011,1000-Hour,None,79,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/16/2011,1000-Hour,None,14,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,7/12/2011,1000-Hour,None,8,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,7/25/2011,1000-Hour,None,9,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/9/2011,1000-Hour,None,8,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/23/2011,1000-Hour,None,7,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,9/16/2011,1000-Hour,None,7,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,9/28/2011,1000-Hour,None,8,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,10/19/2011,1000-Hour,None,14,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,4/4/2012,1000-Hour,None,48,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,4/17/2012,1000-Hour,None,16,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,4/30/2012,1000-Hour,None,16,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,5/15/2012,1000-Hour,None,18,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/15/2012,1000-Hour,None,11,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,7/10/2012,1000-Hour,None,10,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,7/23/2012,1000-Hour,None,9,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/22/2012,1000-Hour,None,6,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/31/2012,1000-Hour,None,8,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,5/15/2013,1000-Hour,None,18,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/11/2013,1000-Hour,None,9,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/13/2013,1000-Hour,None,9,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,6/30/2013,1000-Hour,None,18,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,7/23/2013,1000-Hour,None,5,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,8/20/2013,1000-Hour,None,7,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,9/11/2013,1000-Hour,None,10,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,9/27/2013,1000-Hour,None,20,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
628,10/8/2013,1000-Hour,None,21,Juanita,NOCC,Klamath NF,41.80166666666666,-122.1097222,5400
