STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
1193,9/2/2018,10-Hour,None,5,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,9/15/2018,10-Hour,None,6,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,5/29/2018,100-Hour,None,14,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,5/29/2018,1000-Hour,None,18,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,6/13/2018,1000-Hour,None,11,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,7/2/2018,1000-Hour,None,8,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,8/20/2018,1000-Hour,None,6,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,9/2/2018,1000-Hour,None,7,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,9/15/2018,1000-Hour,None,4,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,10/11/2018,1000-Hour,None,15,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,10/15/2018,1000-Hour,None,15,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,11/1/2018,1000-Hour,None,7,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,5/29/2018,Manzanita,Greenleaf,118,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,6/13/2018,Manzanita,Greenleaf,105,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,7/2/2018,Manzanita,Greenleaf,102,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,8/20/2018,Manzanita,Greenleaf,64,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,9/2/2018,Manzanita,Greenleaf,58,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,9/15/2018,Manzanita,Greenleaf,42,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,10/11/2018,Manzanita,Greenleaf,88,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,10/15/2018,Manzanita,Greenleaf,88,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,11/1/2018,Manzanita,Greenleaf,60,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,5/29/2018,Pine,California Foothill,84,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,6/13/2018,Pine,California Foothill,82,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,7/2/2018,Pine,California Foothill,112,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,8/20/2018,Pine,California Foothill,121,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,9/2/2018,Pine,California Foothill,135,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,9/15/2018,Pine,California Foothill,99,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,10/11/2018,Pine,California Foothill,120,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,10/15/2018,Pine,California Foothill,120,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
1193,11/1/2018,Pine,California Foothill,121,Sugarloaf (SHF),NOCC,Shasta-Trinity NF,40.91583333333333,-122.4347222,3259
