STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
754,4/12/2004,1000-Hour,None,23,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,4/21/2004,1000-Hour,None,21,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,4/30/2004,1000-Hour,None,15,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,5/7/2004,1000-Hour,None,14,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,5/14/2004,1000-Hour,None,19,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,5/24/2004,1000-Hour,None,20,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/4/2004,1000-Hour,None,21,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/10/2004,1000-Hour,None,18,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/18/2004,1000-Hour,None,17,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/25/2004,1000-Hour,None,17,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/2/2004,1000-Hour,None,18,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/9/2004,1000-Hour,None,19,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/16/2004,1000-Hour,None,18,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/23/2004,1000-Hour,None,16,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/30/2004,1000-Hour,None,13,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/6/2004,1000-Hour,None,11,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/13/2004,1000-Hour,None,11,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/20/2004,1000-Hour,None,13,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/26/2004,1000-Hour,None,20,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,9/5/2004,1000-Hour,None,17,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,5/22/2006,1000-Hour,None,29,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/16/2006,1000-Hour,None,29,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/23/2006,1000-Hour,None,20,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/14/2006,1000-Hour,None,13,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/18/2006,1000-Hour,None,12,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/29/2006,1000-Hour,None,9,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/18/2006,1000-Hour,None,13,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,9/2/2006,1000-Hour,None,9,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,9/9/2006,1000-Hour,None,9,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,9/17/2006,1000-Hour,None,9,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,5/18/2007,1000-Hour,None,14,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,5/25/2007,1000-Hour,None,16,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,5/31/2007,1000-Hour,None,15,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/7/2007,1000-Hour,None,17,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/15/2007,1000-Hour,None,16,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/21/2007,1000-Hour,None,14,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,6/28/2007,1000-Hour,None,13,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/5/2007,1000-Hour,None,12,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/12/2007,1000-Hour,None,12,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/19/2007,1000-Hour,None,12,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,7/24/2007,1000-Hour,None,11,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/2/2007,1000-Hour,None,9,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/9/2007,1000-Hour,None,11,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/16/2007,1000-Hour,None,10,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,8/30/2007,1000-Hour,None,10,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,9/13/2007,1000-Hour,None,11,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,9/20/2007,1000-Hour,None,12,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,9/26/2007,1000-Hour,None,12,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,10/4/2007,1000-Hour,None,14,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,10/11/2007,1000-Hour,None,14,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,10/19/2007,1000-Hour,None,15,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
754,10/25/2007,1000-Hour,None,16,McCall,GBCC,Payette NF,44.91111111111111,-116.0977778,5020
