fire_name,year,cause,note
Antelope,2021,Lightning,CAL FIRE/InciWeb listed lightning cause
Archie Creek,2020,Human,Utility/powerlines during Labor Day wind event
Badger,2020,Undetermined,Agencies list cause as undetermined
Beachie Creek,2020,Lightning,August 16 lightning start
Bighorn,2020,Lightning,Santa Catalina Mountains lightning start
Black Fire,2022,Human,USFS listed human cause
Bobcat,2020,Undetermined,USFS determination undetermined
Bootleg,2021,Lightning,Listed as lightning caused
Bush,2020,Human,Vehicle/equipment along SR-87
Caldor,2021,Human,CAL FIRE identified human cause; case dismissed
Cameron Peak,2020,Undetermined,Cause not publicly determined
Cougar Peak,2021,Lightning,Listed as lightning caused
Creek,2020,Undetermined,CAL FIRE reported cause undetermined
Dixie,2021,Human,PG&E equipment contact with tree
Dolan,2020,Human,Arson; suspect pled guilty
East Troublesome,2020,Undetermined,Cause not determined
Holiday Farm,2020,Human,Utility/powerlines; PacifiCorp liable
Lionshead,2020,Lightning,Started Aug 16 on Warm Springs
McFarland,2021,Lightning,Listed as lightning caused
Monument,2021,Lightning,Trinity County lightning start
Moose,2022,Human,Human caused per USFS
Mullen,2020,Human,USFS reported human cause
Pine Gulch,2020,Lightning,Lightning start
Richard Spring,2021,Human,Human caused per DNRC/USFS
Riverside,2020,Human,Human caused per ODF
Schneider Springs,2021,Lightning,Listed as lightning caused
Slater,2020,Undetermined,USFS listed cause undetermined
Telegraph,2021,Human,Human caused; target shooting suspected
Whitney,2020,Human,Powerline/vehicle contact
Woodhead,2020,Undetermined,Cause under investigation
